Date,Close
2003-01-01,1000.0
2003-01-02,992.36
2003-01-03,987.75
2003-01-06,982.03
2003-01-07,978.22
2003-01-08,988.6
2003-01-09,997.63
2003-01-10,991.22
2003-01-13,986.46
2003-01-14,990.83
2003-01-15,996.18
2003-01-16,1001.4
2003-01-17,1003.5
2003-01-20,996.2
2003-01-21,998.33
2003-01-22,997.51
2003-01-23,987.98
2003-01-24,971.11
2003-01-27,946.65
2003-01-28,958.54
2003-01-29,958.37
2003-01-30,955.33
2003-01-31,956.33
2003-02-03,969.32
2003-02-04,969.85
2003-02-05,962.67
2003-02-06,970.33
2003-02-07,967.21
2003-02-10,954.53
2003-02-11,952.34
2003-02-12,948.09
2003-02-14,936.42
2003-02-17,961.85
2003-02-18,964.13
2003-02-19,971.24
2003-02-20,972.52
2003-02-21,970.52
2003-02-24,973.67
2003-02-25,962.63
2003-02-26,957.48
2003-02-27,965.55
2003-02-28,970.21
2003-03-03,967.35
2003-03-04,956.96
2003-03-05,950.38
2003-03-06,943.78
2003-03-07,929.13
2003-03-10,914.4
2003-03-11,919.35
2003-03-12,914.36
2003-03-13,910.83
2003-03-17,903.3
2003-03-19,903.94
2003-03-20,917.56
2003-03-21,922.98
2003-03-22,929.16
2003-03-24,910.61
2003-03-25,907.99
2003-03-26,906.53
2003-03-27,898.8
2003-03-28,894.57
2003-03-31,871.93
2003-04-01,880.36
2003-04-02,896.27
2003-04-03,908.59
2003-04-04,926.15
2003-04-07,943.4
2003-04-08,940.88
2003-04-09,930.49
2003-04-10,910.12
2003-04-11,910.98
2003-04-15,914.72
2003-04-16,914.82
2003-04-17,904.95
2003-04-21,915.25
2003-04-22,915.97
2003-04-23,908.72
2003-04-24,904.86
2003-04-25,904.06
2003-04-28,909.36
2003-04-29,911.53
2003-04-30,912.4
2003-05-02,928.34
2003-05-05,947.31
2003-05-06,953.29
2003-05-07,950.82
2003-05-08,944.82
2003-05-09,944.73
2003-05-12,953.89
2003-05-13,964.73
2003-05-14,975.22
2003-05-15,991.03
2003-05-16,997.84
2003-05-19,991.42
2003-05-20,1000.1
2003-05-21,1011.4
2003-05-22,1013.5
2003-05-23,1019.0
2003-05-26,1036.6
2003-05-27,1030.5
2003-05-28,1040.9
2003-05-29,1057.6
2003-05-30,1066.4
2003-06-02,1069.6
2003-06-03,1072.7
2003-06-04,1086.2
2003-06-05,1089.9
2003-06-06,1094.2
2003-06-09,1104.5
2003-06-10,1085.3
2003-06-11,1092.5
2003-06-12,1100.8
2003-06-13,1098.0
2003-06-16,1092.2
2003-06-17,1115.4
2003-06-18,1121.9
2003-06-19,1131.3
2003-06-20,1133.9
2003-06-23,1129.2
2003-06-24,1128.8
2003-06-25,1145.3
2003-06-26,1150.1
2003-06-27,1164.9
2003-06-30,1174.8
2003-07-01,1178.5
2003-07-02,1195.6
2003-07-03,1206.6
2003-07-04,1207.4
2003-07-07,1221.8
2003-07-08,1224.3
2003-07-09,1206.7
2003-07-10,1220.9
2003-07-11,1225.6
2003-07-14,1240.1
2003-07-15,1222.5
2003-07-16,1241.9
2003-07-17,1223.8
2003-07-18,1211.3
2003-07-21,1191.6
2003-07-22,1175.8
2003-07-23,1186.6
2003-07-24,1204.2
2003-07-25,1226.2
2003-07-28,1238.8
2003-07-29,1246.9
2003-07-30,1267.6
2003-07-31,1262.8
2003-08-01,1273.8
2003-08-04,1288.7
2003-08-05,1266.3
2003-08-06,1255.5
2003-08-07,1282.3
2003-08-08,1305.5
2003-08-11,1316.7
2003-08-12,1317.3
2003-08-13,1328.7
2003-08-14,1331.5
2003-08-18,1367.4
2003-08-19,1354.2
2003-08-20,1367.2
2003-08-21,1375.2
2003-08-22,1378.5
2003-08-25,1332.6
2003-08-26,1386.7
2003-08-27,1414.2
2003-08-28,1421.4
2003-08-29,1435.6
2003-09-01,1453.8
2003-09-02,1460.0
2003-09-03,1434.2
2003-09-04,1437.2
2003-09-05,1455.8
2003-09-08,1484.7
2003-09-09,1475.3
2003-09-10,1477.0
2003-09-11,1481.0
2003-09-12,1454.3
2003-09-15,1414.2
2003-09-16,1441.4
2003-09-17,1429.8
2003-09-18,1386.8
2003-09-19,1397.2
2003-09-22,1386.8
