Date,Close,Unnamed: 5,Unnamed: 6
2005-04-01,1000.0,,
2005-04-04,1006.21,,
2005-04-05,998.76,,
2005-04-06,1020.76,,
2005-04-07,1025.26,,
2005-04-08,1014.06,,
2005-04-11,1004.32,,
2005-04-12,1013.43,,
2005-04-13,1014.78,,
2005-04-15,984.78,,
2005-04-18,979.33,,
2005-04-19,973.24,,
2005-04-20,977.47,,
2005-04-21,999.31,,
2005-04-22,1014.23,,
2005-04-25,1025.26,,
2005-04-26,1029.66,,
2005-04-27,1025.5,,
2005-04-28,1024.39,,
2005-04-29,1002.59,,
2005-05-02,991.14,,
2005-05-03,992.66,,
2005-05-04,1010.88,,
2005-05-05,1021.58,,
2005-05-06,1024.77,,
2005-05-09,1043.16,,
2005-05-10,1050.54,,
2005-05-11,1059.14,,
2005-05-12,1084.55,,
2005-05-13,1106.62,,
2005-05-16,1127.4,,
2005-05-17,1112.76,,
2005-05-18,1120.46,,
2005-05-19,1146.26,,
2005-05-20,1155.97,,
2005-05-23,1185.88,,
2005-05-24,1179.25,,
2005-05-25,1180.28,,
2005-05-26,1169.57,,
2005-05-27,1161.77,,
2005-05-30,1147.16,,
2005-05-31,1162.34,,
2005-06-01,1170.14,,
2005-06-02,1164.79,,
2005-06-03,1187.08,,
2005-06-04,1207.05,,
2005-06-06,1210.07,,
2005-06-07,1212.6,,
2005-06-08,1213.41,,
2005-06-09,1212.55,,
2005-06-10,1208.42,,
2005-06-13,1215.01,,
2005-06-14,1224.69,,
2005-06-15,1226.79,,
2005-06-16,1200.26,,
2005-06-17,1176.58,,
2005-06-20,1156.4,,
2005-06-21,1167.18,,
2005-06-22,1163.52,,
2005-06-23,1171.9,,
2005-06-24,1186.7,,
2005-06-27,1180.56,,
2005-06-28,1154.87,,
2005-06-29,1167.01,,
2005-06-30,1172.39,,
2005-07-01,1185.78,,
2005-07-04,1201.01,,
2005-07-05,1190.63,,
2005-07-06,1208.32,,
2005-07-07,1196.33,,
2005-07-08,1219.57,,
2005-07-11,1241.83,,
2005-07-12,1242.16,,
2005-07-13,1254.65,,
2005-07-14,1263.6,,
2005-07-15,1287.31,,
2005-07-18,1314.22,,
2005-07-19,1321.84,,
2005-07-20,1331.52,,
2005-07-21,1332.2,,
2005-07-22,1356.02,,
2005-07-25,1356.21,,
2005-07-26,1339.66,,
2005-07-27,1335.01,,
2005-07-29,1323.02,,
2005-08-01,1324.25,,
2005-08-02,1345.13,,
2005-08-03,1337.36,,
2005-08-04,1351.99,,
2005-08-05,1378.04,,
2005-08-08,1369.21,,
2005-08-09,1378.73,,
2005-08-10,1422.53,,
2005-08-11,1450.55,,
2005-08-12,1461.88,,
2005-08-16,1489.12,,
2005-08-17,1518.59,,
2005-08-18,1513.58,,
2005-08-19,1537.49,,
2005-08-22,1540.31,,
2005-08-23,1495.4,,
2005-08-24,1474.49,,
2005-08-25,1512.63,,
2005-08-26,1515.3,,
2005-08-29,1566.15,,
2005-08-30,1590.84,,
2005-08-31,1625.82,,
2005-09-01,1648.77,,
2005-09-02,1642.86,,
2005-09-05,1651.43,,
2005-09-06,1654.66,,
2005-09-08,1663.14,,
2005-09-09,1646.05,,
2005-09-12,1661.96,,
2005-09-13,1674.57,,
2005-09-14,1670.05,,
2005-09-15,1698.85,,
2005-09-16,1718.65,,
2005-09-19,1732.17,,
2005-09-20,1699.9,,
2005-09-21,1643.22,,
2005-09-22,1524.82,,
2005-09-23,1514.06,,
2005-09-26,1581.69,,
2005-09-27,1590.71,,
2005-09-28,1593.45,,
2005-09-29,1556.46,,
2005-09-30,1522.14,,
2005-10-03,1551.52,,
2005-10-04,1572.31,,
2005-10-05,1564.74,,
2005-10-06,1539.15,,
2005-10-07,1530.59,,
2005-10-10,1514.83,,
2005-10-11,1497.21,,
2005-10-13,1485.17,,
2005-10-14,1438.87,,
2005-10-17,1410.32,,
2005-10-18,1407.79,,
2005-10-19,1347.16,,
2005-10-20,1300.8,,
2005-10-21,1312.72,,
2005-10-24,1321.58,,
2005-10-25,1321.92,,
2005-10-26,1322.59,,
2005-10-27,1302.72,,
2005-10-28,1265.13,,
2005-10-31,1298.25,,
2005-11-01,1332.27,,
2005-11-02,1335.61,,
2005-11-07,1368.2,,
2005-11-08,1391.42,,
2005-11-09,1389.15,,
2005-11-10,1406.45,,
2005-11-11,1432.93,,
2005-11-14,1433.86,,
2005-11-16,1454.11,,
2005-11-17,1456.6,,
2005-11-18,1456.78,,
2005-11-21,1440.98,,
2005-11-22,1430.51,,
2005-11-23,1441.84,,
2005-11-24,1455.47,,
2005-11-25,1463.48,,
2005-11-26,1470.84,,
2005-11-28,1477.22,,
2005-11-29,1463.95,,
2005-11-30,1455.98,,
2005-12-01,1460.99,,
2005-12-02,1464.03,,
2005-12-05,1460.28,,
2005-12-06,1472.12,,
2005-12-07,1482.0,,
2005-12-08,1493.01,,
2005-12-09,1511.22,,
2005-12-12,1517.18,,
2005-12-13,1513.51,,
2005-12-14,1512.33,,
2005-12-15,1505.28,,
2005-12-16,1512.68,,
2005-12-19,1513.91,,
2005-12-20,1506.88,,
2005-12-21,1506.28,,
2005-12-22,1513.48,,
2005-12-23,1501.44,,
2005-12-26,1468.28,,
2005-12-27,1494.76,,
2005-12-28,1500.55,,
2005-12-29,1521.97,,
2005-12-30,1534.09,,
2006-01-02,1557.83,,
2006-01-03,1597.95,,
2006-01-04,1608.35,,
2006-01-05,1608.67,,
2006-01-06,1636.94,,
2006-01-09,1639.72,,
2006-01-10,1618.78,,
2006-01-12,1634.26,,
2006-01-13,1649.66,,
2006-01-16,1632.96,,
2006-01-17,1631.52,,
2006-01-18,1612.37,,
2006-01-19,1651.12,,
2006-01-20,1664.1,,
2006-01-23,1674.23,,
2006-01-24,1689.56,,
2006-01-25,1679.11,,
2006-01-27,1675.05,,
2006-01-30,1646.47,,
2006-01-31,1648.0,,
2006-02-01,1611.76,,
2006-02-02,1605.5,,
2006-02-03,1604.53,,
2006-02-06,1617.34,,
2006-02-07,1606.56,,
2006-02-08,1600.88,,
2006-02-10,1616.16,,
2006-02-13,1634.65,,
2006-02-14,1628.35,,
2006-02-15,1624.52,,
2006-02-16,1639.46,,
2006-02-17,1607.43,,
2006-02-20,1596.24,,
2006-02-21,1614.27,,
2006-02-22,1603.95,,
2006-02-23,1591.9,,
2006-02-24,1588.79,,
2006-02-27,1581.72,,
2006-02-28,1571.38,,
2006-03-01,1605.94,,
2006-03-02,1607.71,,
2006-03-03,1608.34,,
2006-03-06,1628.99,,
2006-03-07,1649.4,,
2006-03-08,1626.07,,
2006-03-09,1634.38,,
2006-03-10,1651.72,,
2006-03-13,1647.56,,
2006-03-14,1634.82,,
2006-03-16,1638.51,,
2006-03-17,1624.03,,
2006-03-20,1631.31,,
2006-03-21,1623.59,,
2006-03-22,1609.75,,
2006-03-23,1622.89,,
2006-03-24,1631.7,,
2006-03-27,1652.76,,
2006-03-28,1637.38,,
2006-03-29,1674.08,,
2006-03-30,1708.49,,
2006-03-31,1735.65,,
2006-04-03,1794.89,,
2006-04-04,1801.64,,
2006-04-05,1826.76,,
2006-04-07,1803.23,,
2006-04-10,1828.33,,
2006-04-12,1802.36,,
2006-04-13,1758.16,,
2006-04-17,1786.71,,
2006-04-18,1811.11,,
2006-04-19,1815.57,,
2006-04-20,1825.02,,
2006-04-21,1824.26,,
2006-04-24,1854.22,,
2006-04-25,1852.85,,
2006-04-26,1887.22,,
2006-04-27,1900.9,,
2006-04-28,1877.73,,
2006-04-29,1929.76,,
2006-05-02,1947.05,,
2006-05-03,1952.37,,
2006-05-04,1957.93,,
2006-05-05,1957.62,,
2006-05-08,1974.04,,
2006-05-09,1993.19,,
2006-05-10,2018.63,,
2006-05-11,1992.72,,
2006-05-12,1983.72,,
2006-05-15,1924.16,,
2006-05-16,1892.28,,
2006-05-17,1965.46,,
2006-05-18,1844.98,,
2006-05-19,1761.58,,
2006-05-22,1636.57,,
2006-05-23,1665.22,,
2006-05-24,1656.98,,
2006-05-25,1633.75,,
2006-05-26,1680.24,,
2006-05-29,1688.72,,
2006-05-30,1695.39,,
2006-05-31,1620.42,,
2006-06-01,1562.87,,
2006-06-02,1514.43,,
2006-06-05,1487.77,,
2006-06-06,1430.95,,
2006-06-07,1332.93,,
2006-06-08,1227.27,,
2006-06-09,1273.89,,
2006-06-12,1246.25,,
2006-06-13,1170.45,,
2006-06-14,1125.87,,
2006-06-15,1166.05,,
2006-06-16,1218.48,,
2006-06-19,1248.23,,
2006-06-20,1277.76,,
2006-06-21,1326.99,,
2006-06-22,1371.35,,
2006-06-23,1384.38,,
2006-06-25,1407.39,,
