Date,Close,OPEN,High,Low
1990-07-03,279.02,,,
1990-07-05,284.04,,,
1990-07-06,289.04,,,
1990-07-09,289.69,,,
1990-07-10,288.69,,,
1990-07-11,293.3,,,
1990-07-12,296.21,,,
1990-07-13,296.34,,,
1990-07-16,287.96,,,
1990-07-17,295.39,,,
1990-07-18,298.23,,,
1990-07-19,301.5,,,
1990-07-20,302.59,,,
1990-07-25,321.76,,,
1990-07-26,323.58,,,
1990-07-27,329.65,,,
1990-07-30,347.44,,,
1990-08-03,337.29,,,
1990-08-07,331.45,,,
1990-08-08,322.11,,,
1990-08-09,325.69,,,
1990-08-10,333.35,,,
1990-08-13,348.98,,,
1990-08-16,349.39,,,
1990-08-17,347.99,,,
1990-08-20,353.19,,,
1990-08-21,363.66,,,
1990-08-22,369.95,,,
1990-08-23,368.14,,,
1990-08-27,384.78,,,
1990-08-28,384.39,,,
1990-08-29,384.88,,,
1990-08-30,400.06,,,
1990-09-03,407.13,,,
1990-09-04,392.47,,,
1990-09-05,389.82,,,
1990-09-06,396.51,,,
1990-09-07,404.11,,,
1990-09-10,411.11,,,
1990-09-11,422.07,,,
1990-09-12,414.16,,,
1990-09-14,396.5,,,
1990-09-18,415.18,,,
1990-09-19,419.46,,,
1990-09-20,421.32,,,
1990-09-21,434.08,,,
1990-09-25,452.36,,,
1990-09-26,436.16,,,
1990-09-27,439.72,,,
1990-10-04,439.55,,,
1990-10-09,480.38,,,
1990-10-11,449.25,,,
1990-10-12,429.29,,,
1990-10-15,398.92,,,
1990-10-18,405.72,,,
1990-10-22,383.75,,,
1990-10-25,404.15,,,
1990-10-26,397.04,,,
1990-10-31,403.66,,,
1990-11-01,412.9,,,
1990-11-05,416.08,,,
1990-11-07,428.21,,,
1990-11-08,435.18,,,
1990-11-09,430.25,,,
1990-11-12,403.06,,,
1990-11-14,405.7,,,
1990-11-16,408.34,,,
1990-11-21,391.83,,,
1990-11-22,383.69,,,
1990-11-23,399.67,,,
1990-11-26,405.0,,,
1990-11-27,393.78,,,
1990-11-29,373.33,,,
1990-11-30,367.69,,,
1990-12-03,371.14,,,
1990-12-04,359.86,,,
1990-12-05,359.21,,,
1990-12-06,363.06,,,
1990-12-10,371.86,,,
1990-12-11,368.22,,,
1990-12-12,372.37,,,
1990-12-13,378.88,,,
1990-12-14,382.16,,,
1990-12-17,367.42,,,
1990-12-18,347.93,,,
1990-12-19,333.33,,,
1990-12-21,326.93,,,
1990-12-24,330.86,,,
1991-01-02,318.95,,,
1991-01-03,314.01,,,
1991-01-07,318.12,,,
1991-01-09,321.49,,,
1991-01-11,326.37,,,
1991-01-14,323.42,,,
1991-01-23,319.49,,,
1991-01-24,312.07,,,
1991-01-25,306.22,,,
1991-01-31,314.36,,,
1991-02-01,324.29,,,
1991-02-04,334.83,,,
1991-02-05,339.98,,,
