Date,Close,Unnamed: 5,Unnamed: 6
2005-04-01,1000.0,,
2005-04-04,1001.05,,
2005-04-05,984.47,,
2005-04-06,984.35,,
2005-04-07,984.98,,
2005-04-08,975.15,,
2005-04-11,966.78,,
2005-04-12,975.99,,
2005-04-13,979.85,,
2005-04-15,960.13,,
2005-04-18,948.34,,
2005-04-19,941.87,,
2005-04-20,946.06,,
2005-04-21,958.46,,
2005-04-22,965.17,,
2005-04-25,970.92,,
2005-04-26,968.03,,
2005-04-27,954.95,,
2005-04-28,947.72,,
2005-04-29,929.33,,
2005-05-02,929.25,,
2005-05-03,934.39,,
2005-05-04,945.76,,
2005-05-05,957.28,,
2005-05-06,960.87,,
2005-05-09,975.77,,
2005-05-10,974.54,,
2005-05-11,965.99,,
2005-05-12,967.59,,
2005-05-13,967.58,,
2005-05-16,977.7,,
2005-05-17,967.44,,
2005-05-18,962.82,,
2005-05-19,969.15,,
2005-05-20,966.87,,
2005-05-23,975.82,,
2005-05-24,977.44,,
2005-05-25,979.61,,
2005-05-26,979.24,,
2005-05-27,976.35,,
2005-05-30,974.28,,
2005-05-31,988.77,,
2005-06-01,993.46,,
2005-06-02,987.94,,
2005-06-03,995.0,,
2005-06-04,996.08,,
2005-06-06,1000.28,,
2005-06-07,1008.85,,
2005-06-08,1017.12,,
2005-06-09,1012.55,,
2005-06-10,1004.54,,
2005-06-13,1007.44,,
2005-06-14,1014.64,,
2005-06-15,1019.32,,
2005-06-16,1009.95,,
2005-06-17,1003.47,,
2005-06-20,1000.21,,
2005-06-21,1005.83,,
2005-06-22,1015.53,,
2005-06-23,1019.7,,
2005-06-24,1023.4,,
2005-06-27,1023.85,,
2005-06-28,1008.63,,
2005-06-29,1015.93,,
2005-06-30,1014.7,,
2005-07-01,1027.29,,
2005-07-04,1035.51,,
2005-07-05,1038.87,,
2005-07-06,1055.53,,
2005-07-07,1042.34,,
2005-07-08,1056.67,,
2005-07-11,1071.16,,
2005-07-12,1071.47,,
2005-07-13,1071.06,,
2005-07-14,1068.58,,
2005-07-15,1073.48,,
2005-07-18,1082.0,,
2005-07-19,1086.25,,
2005-07-20,1093.79,,
2005-07-21,1088.1,,
2005-07-22,1101.73,,
2005-07-25,1110.76,,
2005-07-26,1112.28,,
2005-07-27,1112.04,,
2005-07-29,1103.64,,
2005-08-01,1105.38,,
2005-08-02,1118.67,,
2005-08-03,1127.16,,
2005-08-04,1144.02,,
2005-08-05,1145.99,,
2005-08-08,1129.3,,
2005-08-09,1127.53,,
2005-08-10,1144.76,,
2005-08-11,1142.01,,
2005-08-12,1143.03,,
2005-08-16,1147.77,,
2005-08-17,1157.85,,
2005-08-18,1152.25,,
2005-08-19,1144.64,,
2005-08-22,1137.16,,
2005-08-23,1117.59,,
2005-08-24,1115.18,,
2005-08-25,1130.09,,
2005-08-26,1141.82,,
2005-08-29,1131.38,,
2005-08-30,1143.54,,
2005-08-31,1150.34,,
2005-09-01,1157.68,,
2005-09-02,1160.31,,
2005-09-05,1171.23,,
2005-09-06,1173.71,,
2005-09-08,1184.76,,
2005-09-09,1187.68,,
2005-09-12,1208.5,,
2005-09-13,1222.21,,
2005-09-14,1219.01,,
2005-09-15,1237.01,,
2005-09-16,1240.25,,
